Date,Time,CO_GT,PT08_S1_CO,C6H6_GT,PT08_S2_NMHC,PT08_S3_NOx,NO2_GT,PT08_S4_NO2,PT08_S5_O3,T,RH,AH,AQI
10/3/2004,18:00:00,2.6,1360,11.9,1046,1056,113,1692,1268,13.6,48.9,0.7578,719.8484958
10/3/2004,19:00:00,2,1292,9.4,955,1174,92,1559,972,13.3,47.7,0.7255,702.6612488
10/3/2004,20:00:00,2.2,1402,9.0,939,1140,114,1555,1074,11.9,54.0,0.7502,713.8316289
10/3/2004,21:00:00,2.2,1376,9.2,948,1092,122,1584,1203,11.0,60.0,0.7867,732.4306636
10/3/2004,22:00:00,1.6,1272,6.5,836,1205,116,1490,1110,11.2,59.6,0.7888,747.7523206
10/3/2004,23:00:00,1.2,1197,4.7,750,1337,96,1393,949,11.2,59.2,0.7848,767.1934955
11/3/2004,00:00:00,1.2,1185,3.6,690,1462,77,1333,733,11.3,56.8,0.7603,770.5646687
11/3/2004,01:00:00,1,1136,3.3,672,1453,76,1333,730,10.7,60.0,0.7702,771.0880708
11/3/2004,02:00:00,0.9,1094,2.3,609,1579,60,1276,620,10.7,59.7,0.7648,793.2005493
11/3/2004,03:00:00,0.6,1010,1.7,561,1705,,1235,501,10.3,60.2,0.7517,736.1861692
11/3/2004,04:00:00,,1011,1.3,527,1818,34,1197,445,10.1,60.5,0.7465,684.82535
11/3/2004,05:00:00,0.7,1066,1.1,512,1918,28,1182,422,11.0,56.2,0.7366,857.4346504
11/3/2004,06:00:00,0.7,1052,1.6,553,1738,48,1221,472,10.5,58.1,0.7353,804.1003153
11/3/2004,07:00:00,1.1,1144,3.2,667,1490,82,1339,730,10.2,59.6,0.7417,755.7367432
11/3/2004,08:00:00,2,1333,8.0,900,1136,112,1517,1102,10.8,57.4,0.7408,690.4131722
11/3/2004,09:00:00,2.2,1351,9.5,960,1079,101,1583,1028,10.5,60.6,0.7691,706.422374
11/3/2004,10:00:00,1.7,1233,6.3,827,1218,98,1446,860,10.8,58.4,0.7552,712.4828089
11/3/2004,11:00:00,1.5,1179,5.0,762,1328,92,1362,671,10.5,57.9,0.7352,715.6008773
11/3/2004,12:00:00,1.6,1236,5.2,774,1301,95,1401,664,9.5,66.8,0.7951,765.4476698
11/3/2004,13:00:00,1.9,1286,7.3,869,1162,112,1537,799,8.3,76.4,0.8393,778.4981633
11/3/2004,14:00:00,2.9,1371,11.5,1034,983,128,1730,1037,8.0,81.1,0.8736,785.5261857
11/3/2004,15:00:00,2.2,1310,8.8,933,1082,126,1647,946,8.3,79.8,0.8778,802.7595267
11/3/2004,16:00:00,2.2,1292,8.3,912,1103,131,1591,957,9.7,71.2,0.8569,791.7839554
